Source,Target,type
2,3,1
2,19,1
2,20,1
2,25,1
2,29,1
3,2,1
3,19,1
3,20,1
3,25,1
3,29,1
4,17,1
4,24,1
4,25,1
4,28,1
4,60,1
4,61,1
8,25,1
11,25,1
14,49,1
17,4,1
17,24,1
17,25,1
17,28,1
17,60,1
17,61,1
19,2,1
19,3,1
19,20,1
19,21,1
19,25,1
19,26,1
19,29,1
19,33,1
19,56,1
20,2,1
20,3,1
20,19,1
20,21,1
20,25,1
20,26,1
20,29,1
20,33,1
20,56,1
21,19,1
21,20,1
21,25,1
21,26,1
21,35,1
21,44,1
21,56,1
23,14,1
23,49,1
23,63,1
24,4,1
24,17,1
24,25,1
24,28,1
24,60,1
24,61,1
25,2,1
25,3,1
25,8,1
25,17,1
25,19,1
25,20,1
25,21,1
25,26,1
25,28,1
25,29,1
25,33,1
25,35,1
25,44,1
25,56,1
26,19,1
26,20,1
26,21,1
26,25,1
26,35,1
26,44,1
26,56,1
28,4,1
28,17,1
28,24,1
28,25,1
28,60,1
28,61,1
29,2,1
29,3,1
29,19,1
29,20,1
29,25,1
33,19,1
33,20,1
35,21,1
35,25,1
35,26,1
35,44,1
35,56,1
44,21,1
44,25,1
44,26,1
44,35,1
44,56,1
48,25,1
49,14,1
49,23,1
49,63,1
52,25,1
52,56,1
56,19,1
56,20,1
56,21,1
56,25,1
56,26,1
56,35,1
56,44,1
58,25,1
60,4,1
60,17,1
60,24,1
60,25,1
60,28,1
60,61,1
61,4,1
61,17,1
61,24,1
61,25,1
61,26,1
61,28,1
61,60,1
63,14,1
63,23,1
63,49,1
